MemberContext	Manager	Einf	Color	Class
ProServ 1000 P90	T Heinzel	95/01	LightBlue	ProServ
ProServ 2000 P120	T Heinzel	95/04	Red	ProServ
ProServ 2500 P166	T Heinzel	96/01	LightGray	ProServ
ProServ 5000 P6-166	T Heinzel	96/04	LightRed	ProServ
ProServ 6000 P6-200	T Heinzel	96/04	LightBlue	ProServ
Desktops gesamt	A Lipphardt	-		
Desktops gesamt (ohne CD)	A Lipphardt	-		
Deskmate 386/25	A Lipphardt	93/01	LightGreen	Deskmate
Deskmate 386/33	A Lipphardt	93/01	DarkGreen	Deskmate
Deskmate 486/33	A Lipphardt	93/01	DarkGray	Deskmate
Deskmate 486/50	A Lipphardt	93/01	DarkGreen	Deskmate
Deskmate 486/66	A Lipphardt	0	DarkRed	Deskmate
Deskmate P75	A Lipphardt	94/08	DarkGreen	Deskmate
Deskmate P90	A Lipphardt	95/09	Blue	Deskmate
Deskmate P100	A Lipphardt	96/02	Cyan	Deskmate
Deskmate P120	A Lipphardt	96/02	Blue	Deskmate
Deskmate P133	A Lipphardt	96/02	DarkRed	Deskmate
Deskmate P166	A Lipphardt	9608	Gray	Deskmate
Desktops gesamt (mit CD)	L Morvar	-		
Deskmate CD 486/66	L Morvar	93/10	Green	Deskmate
Deskmate CD P75	L Morvar	94/08	Gray	Deskmate
Deskmate CD P90	L Morvar	95/09	DarkGray	Deskmate
Deskmate CD P100	L Morvar	96/02	LightGreen	Deskmate
Deskmate CD P120	L Morvar	96/02	LightGray	Deskmate
Deskmate CD P133	L Morvar	96/02	White	Deskmate
Deskmate CD P166	L Morvar	96/08	LightBlue	Deskmate
Laptops gesamt	S Heim	-		
Ultranotebooks gesamt	S Heim	-		
Ultranote 386/25sx BW	S Heim	93/01	LightGreen	Ultranote
Ultranote 386/33sx BW	S Heim	93/01	LightGreen	Ultranote
Ultranote 386/33sx Color	S Heim	93/06	Gray	Ultranote
Ultranote 486/33sx BW	S Heim	93/06	DarkBlue	Ultranote
Ultranote 486/50dx BW	S Heim	94/01	Black	Ultranote
Ultranote 486/50dx Color	S Heim	94/01	Cyan	Ultranote
Ultranote 486/66dx BW	S Heim	94/09	Magenta	Ultranote
Ultranote 486/66dx Color	S Heim	94/09	White	Ultranote
Ultranote 486/75 BW	S Heim	94/09	Gray	Ultranote
Ultranote 486/75 DSTN	S Heim	94/09	Magenta	Ultranote
Ultranote 486/75 TFT	S Heim	94/09	LightGreen	Ultranote
Ultranote P66 DSTN	S Heim	95/11	DarkGray	Ultranote
Ultranote P75 DSTN	S Heim	95/11	DarkBlue	Ultranote
Ultranote P75 TFT	S Heim	95/11	LightGreen	Ultranote
Ultranote P100 DSTN	S Heim	96/05	DarkGreen	Ultranote
Ultranote P100 TFT	S Heim	96/05	LightGreen	Ultranote
Ultranote CD P100 DSTN	S Heim	96/05	Red	Ultranote
Ultranote CD P100 TFT 10.4	S Heim	96/05	DarkGray	Ultranote
Ultranote CD P100 TFT 11.4	S Heim	96/05	LightBlue	Ultranote
Ultranote P120 DSTN 10.4	S Heim	96/05	LightBlue	Ultranote
Ultranote P120 TFT 11.4	S Heim	96/05	LightGreen	Ultranote
Ultranote CD P120 DSTN 10.4	S Heim	96/05	Red	Ultranote
Ultranote CD P120 TFT 11.4	S Heim	96/05	Yellow	Ultranote
Ultranote CD P133 TFT 11.4	S Heim	96/05	Black	Ultranote
Ultranote CD P133 TFT 12.1	S Heim	96/05	White	Ultranote
Litenotebooks gesamt	C Meister	-		
Litenote P100 DSTN 11.4	C Meister	96/05	Gray	Litenote
Litenote P120 TFT 12.1	C Meister	96/05	Gray	Litenote
Litenote P133 TFT 12.1	C Meister	96/05	Gray	Litenote
Ultranote CD P100 TFT 10.4	S Heim	96/05	DarkBlue	Ultranote
Ultranote CD P100 TFT 11.4	S Heim	96/05	Magenta	Ultranote
Ultranote P120 DSTN 10.4	S Heim	96/05	Red	Ultranote
Ultranote P120 TFT 11.4	S Heim	96/05	White	Ultranote
Ultranote CD P120 DSTN 10.4	S Heim	96/05	Magenta	Ultranote
Ultranote CD P120 TFT 11.4	S Heim	96/05	LightRed	Ultranote
Ultranote CD P133 TFT 11.4	S Heim	96/05	Black	Ultranote
Ultranote CD P133 TFT 12.1	S Heim	96/05	Blue	Ultranote
Litenotebooks gesamt	C Meister	-		
Litenote P100 DSTN 11.4	C Meister	96/05	Magenta	Litenote
Litenote P120 TFT 12.1	C Meister	96/05	Cyan	Litenote
Litenote P133 TFT 12.1	C Meister	96/05	LightBlue	Litenote
